,Date,Open,Med
0,2000-01-03,52.56,0.3547666122238459
1,2000-01-04,49.56,0.3292357947219118
2,2000-01-05,44.38,0.29785953752256505
3,2000-01-06,46.5,0.30533826184131346
4,2000-01-07,53.5,0.3982635605604744
5,2000-01-10,58.5,0.42009799707728
6,2000-01-11,58.12,0.41442448207685023
7,2000-01-12,59.94,0.4294678930628384
8,2000-01-13,63.31,0.45336542594343676
9,2000-01-14,63.94,0.4528496518524885
10,2000-01-18,60.19,0.4311011776841742
11,2000-01-19,59.38,0.4280924954869767
12,2000-01-20,62.62,0.4434797558669302
13,2000-01-21,60.81,0.4351414080632682
14,2000-01-24,62.0,0.4552565976102466
15,2000-01-25,64.56,0.4676351757930026
16,2000-01-26,64.38,0.48697670420355876
17,2000-01-27,67.75,0.498237771855927
18,2000-01-28,69.0,0.510874237084157
19,2000-01-31,65.62,0.46866672397489895
20,2000-02-01,65.5,0.477262958824035
21,2000-02-02,64.56,0.46866672397489895
22,2000-02-03,65.56,0.4757156365511904
23,2000-02-04,67.44,0.5017622281440728
24,2000-02-07,68.81,0.4950571649617467
25,2000-02-08,71.0,0.5326227112524713
26,2000-02-09,73.0,0.5385541132983752
27,2000-02-10,70.69,0.516805639130061
28,2000-02-11,71.88,0.5159460156451474
29,2000-02-14,68.25,0.5039112868563568
30,2000-02-15,67.75,0.48912576291584275
31,2000-02-16,66.81,0.49419754147683304
32,2000-02-17,71.12,0.5269491962520415
33,2000-02-18,72.0,0.5248001375397575
34,2000-02-22,72.0,0.5312473136766096
35,2000-02-23,73.38,0.538038339207427
36,2000-02-24,74.62,0.5390698873893234
37,2000-02-25,71.0,0.5245422504942835
38,2000-02-28,69.62,0.5150863921602337
39,2000-02-29,69.56,0.513023295796441
40,2000-03-01,71.19,0.525401873979197
41,2000-03-02,71.75,0.533740221782859
42,2000-03-03,73.88,0.5519642396630275
43,2000-03-06,81.5,0.6121378836069801
44,2000-03-07,83.25,0.622367403077452
45,2000-03-08,81.94,0.6030258746668958
46,2000-03-09,84.88,0.6274391816384423
47,2000-03-10,85.44,0.63930198573025
48,2000-03-13,78.88,0.5944296398177598
49,2000-03-14,80.06,0.58875612481733
50,2000-03-15,75.25,0.5431101177684173
51,2000-03-16,74.0,0.5290982549643256
52,2000-03-17,70.69,0.5328805982979454
53,2000-03-20,77.5,0.5748302243617295
54,2000-03-21,75.0,0.5538554113298374
55,2000-03-22,75.25,0.5591850769363018
56,2000-03-23,73.62,0.5401014355712198
57,2000-03-24,72.44,0.5441416659503137
58,2000-03-27,74.88,0.5608183615576376
59,2000-03-28,75.31,0.5479240092839336
60,2000-03-29,68.75,0.4514742542766268
61,2000-03-30,60.94,0.42542766268374443
62,2000-03-31,61.25,0.4219891687440901
63,2000-04-03,58.62,0.39078483624172605
64,2000-04-04,55.81,0.36207341184561154
65,2000-04-05,52.31,0.384337660104874
66,2000-04-06,59.06,0.4163156537436602
67,2000-04-07,59.31,0.41579987965271203
68,2000-04-10,56.5,0.386486718817158
69,2000-04-11,52.0,0.36662941631565366
70,2000-04-12,54.38,0.3623312988910856
71,2000-04-13,51.25,0.3437634316169517
72,2000-04-14,47.25,0.31634144244820767
73,2000-04-17,48.19,0.33869165305596144
74,2000-04-18,51.12,0.3370583684346256
75,2000-04-19,52.5,0.34591249032923577
76,2000-04-20,47.5,0.30318920312902947
77,2000-04-24,42.0,0.2706954353992951
78,2000-04-25,46.88,0.31634144244820767
79,2000-04-26,49.0,0.3298375311613512
80,2000-04-27,46.75,0.3203816728273016
81,2000-04-28,48.94,0.3313848534341958
82,2000-05-01,49.38,0.34513882919281347
83,2000-05-02,51.44,0.3489211725264334
84,2000-05-03,49.56,0.3244219032063956
85,2000-05-04,48.38,0.3203816728273016
86,2000-05-05,48.25,0.33490930972234156
87,2000-05-08,49.5,0.3292357947219118
88,2000-05-09,48.5,0.3196080116908793
89,2000-05-10,45.69,0.29270179661308343
90,2000-05-11,44.56,0.29270179661308343
91,2000-05-12,46.5,0.3093784922204074
92,2000-05-15,45.69,0.301899767901659
93,2000-05-16,46.12,0.31152755093269147
94,2000-05-17,45.5,0.3021576549471331
95,2000-05-18,45.25,0.2930456460070489
96,2000-05-19,41.38,0.2666552050202011
97,2000-05-22,40.88,0.25995014183787496
98,2000-05-23,41.44,0.2701796613083469
99,2000-05-24,41.5,0.2693200378234333
100,2000-05-25,43.44,0.27800223502106075
101,2000-05-26,42.0,0.272586607066105
102,2000-05-30,42.56,0.28410556176394736
103,2000-05-31,43.56,0.28737213100661907
104,2000-06-01,44.0,0.29975070918937496
105,2000-06-02,50.25,0.33869165305596144
106,2000-06-05,48.12,0.3295796441158772
107,2000-06-06,49.5,0.3279463594945413
108,2000-06-07,47.94,0.32846213358548954
109,2000-06-08,50.12,0.3365425943436774
110,2000-06-09,49.25,0.3298375311613512
111,2000-06-12,47.81,0.31745895297859533
112,2000-06-13,46.62,0.30989426631135564
113,2000-06-14,49.12,0.3368004813891515
114,2000-06-15,50.69,0.3429897704805295
115,2000-06-16,50.56,0.33972320123785776
116,2000-06-19,50.0,0.3472878879050975
117,2000-06-20,52.69,0.3663715292701796
118,2000-06-21,51.31,0.3496948336628556
119,2000-06-22,51.62,0.3448809421473394
120,2000-06-23,49.56,0.33379179919195384
121,2000-06-26,50.44,0.3429897704805295
122,2000-06-27,49.88,0.3437634316169517
123,2000-06-28,49.19,0.3389495401014355
124,2000-06-29,46.38,0.3131608355540273
125,2000-06-30,46.0,0.30989426631135564
126,2000-07-03,46.19,0.31075388979626917
127,2000-07-05,47.94,0.31883435055445714
128,2000-07-06,45.75,0.30619788532622705
129,2000-07-07,46.25,0.3141923837359237
130,2000-07-10,46.62,0.3147941201753631
131,2000-07-11,46.69,0.31023811570532106
132,2000-07-12,48.81,0.33009541820682536
133,2000-07-13,51.25,0.3539929510874236
134,2000-07-14,51.94,0.35717355798160405
135,2000-07-17,54.25,0.37763259692254786
136,2000-07-18,52.62,0.36095590131522387
137,2000-07-19,50.0,0.3456546032837617
138,2000-07-20,54.75,0.40256167798504244
139,2000-07-21,58.0,0.41304908450098854
140,2000-07-24,59.5,0.41820682541047016
